epoch,acc,f1,loss,val_acc,val_f1,val_loss
0,0.26318812040711886,0.006201454569918067,1.389332661285247,0.26134405516640064,0.0,1.3891048408800812
1,0.25244072525996514,0.0,1.3899946775807261,0.28144744408329214,0.0,1.3822174577587025
2,0.26843875627153296,0.0,1.38623436356561,0.24612291796600455,0.0,1.390625946279369
3,0.2579374846050528,0.0,1.3901139887395,0.26134405516640064,0.0,1.3961468439962177
4,0.2611370908085889,0.0,1.3885297776148762,0.26134405516640064,0.0,1.3822354407641888
5,0.2589219788223718,0.0,1.3881968405241063,0.24612291796600455,0.0,1.3904538444237486
6,0.2677824267929128,0.0,1.3876790488477277,0.26134405516640064,0.0,1.3862126580193972
7,0.26228566741970744,0.0,1.3877829090781575,0.28144744408329214,0.0,1.3853555439122445
8,0.26786446796047236,0.0,1.3870754173971864,0.26134405516640064,0.0,1.3852027291747635
9,0.2613011731779383,0.0,1.387361941095822,0.26134405516640064,0.0,1.387187199850044
10,0.2606448437262133,0.0,1.3883255903417087,0.28144744408329214,0.0,1.3832002953507996
11,0.2601525965912699,0.0,1.3881255454959973,0.28144744408329214,0.0,1.392321477259527
12,0.27229469195124417,0.0,1.3875523919164914,0.28144744408329214,0.0,1.3846090511643017
13,0.26212158502468536,0.0,1.3879861855821816,0.28144744408329214,0.0,1.3904532135936598
14,0.26704405610516774,0.0,1.387202180334616,0.28144744408329214,0.0,1.3828818592649983
15,0.2617113791013118,0.0,1.3882687029039336,0.28144744408329214,0.0,1.381633521632721
16,0.2628599556684201,0.0,1.3880024541342695,0.26134405516640064,0.0,1.3911398142524865
17,0.2594962670967571,0.0,1.388695597012916,0.28144744408329214,0.0,1.3828484942213275
18,0.25613257854343174,0.0,1.3888333541295206,0.28144744408329214,0.0,1.3811369975499215
19,0.2620395438485682,0.0,1.3884015043410298,0.28144744408329214,0.0,1.381304532546274
20,0.2571991139710981,0.0,1.3888055632255047,0.28144744408329214,0.0,1.3847601142578738
